snapshot_date,release_tag,asset_name,download_count
2026-08-24,v7.0.4,AddaxAI-arm64.dmg,9
2026-08-24,v7.0.4,AddaxAI-Setup.exe,73
2026-08-24,v7.0.3,AddaxAI-amd64.deb,13
2026-08-24,v7.0.3,AddaxAI-arm64.dmg,39
2026-08-24,v7.0.3,AddaxAI-Setup.exe,115
2026-08-24,v7.0.2,AddaxAI-amd64.deb,10
2026-08-24,v7.0.2,AddaxAI-arm64.dmg,29
2026-08-24,v7.0.2,AddaxAI-Setup.exe,129
2026-08-31,v7.4.0,AddaxAI-amd64.deb,8
2026-08-31,v7.4.0,AddaxAI-arm64.dmg,23
2026-08-31,v7.4.0,AddaxAI-Setup.exe,116
2026-08-31,v7.3.0,AddaxAI-amd64.deb,7
2026-08-31,v7.3.0,AddaxAI-arm64.dmg,13
2026-08-31,v7.3.0,AddaxAI-Setup.exe,84
2026-08-31,v7.2.1,AddaxAI-amd64.deb,2
2026-08-31,v7.2.1,AddaxAI-arm64.dmg,17
2026-08-31,v7.2.1,AddaxAI-Setup.exe,148
2026-08-31,v7.2.0,AddaxAI-amd64.deb,1
2026-08-31,v7.2.0,AddaxAI-arm64.dmg,2
2026-08-31,v7.2.0,AddaxAI-Setup.exe,40
2026-08-31,v7.1.0,AddaxAI-amd64.deb,11
2026-08-31,v7.1.0,AddaxAI-arm64.dmg,25
2026-08-31,v7.1.0,AddaxAI-Setup.exe,174
2026-08-31,v7.0.13,AddaxAI-amd64.deb,11
2026-08-31,v7.0.13,AddaxAI-arm64.dmg,26
2026-08-31,v7.0.13,AddaxAI-Setup.exe,156
2026-08-31,v7.0.12,AddaxAI-amd64.deb,2
2026-08-31,v7.0.12,AddaxAI-arm64.dmg,13
2026-08-31,v7.0.12,AddaxAI-Setup.exe,116
2026-08-31,v7.0.11,AddaxAI-amd64.deb,5
2026-08-31,v7.0.11,AddaxAI-arm64.dmg,15
2026-08-31,v7.0.11,AddaxAI-Setup.exe,80
2026-08-31,v7.0.10,AddaxAI-amd64.deb,6
2026-08-31,v7.0.10,AddaxAI-arm64.dmg,10
2026-08-31,v7.0.10,AddaxAI-Setup.exe,83
